Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Hauāuru 69,Candidate Vote Details
,,"HIPANGO, Harete Makere","NGAREWA-PACKER, Debbie Anne","PEKE, Soraya Waiata","WINIATA, Paris James",Total Valid Candidate Votes,Informal Candidate Votes
Plimmerton,"Plimmerton School Hall, 11 School Road",1,11,4,0,16,0
Porirua City Centre,"North City Shopping Centre, adjacent Ice Queen, 2 Titahi Bay Road",2,28,20,1,51,1
,"North City Shopping Centre, Ground Floor, Centre Court, bottom of escalator, 2 Titahi Bay Road",8,64,14,3,89,1
,"Pātaka Art + Museum, 17 Parumoana Street",0,41,6,2,49,0
Pukerua Bay,"Pukerua Bay School Hall, 89 Rawhiti Road",0,9,4,2,15,0
Rānui,"Porirua East School Hall, 8 Martin Street",0,33,21,0,54,4
Raumati Beach,"Raumati Beach School Hall, 26-34 Raumati Road",4,22,5,4,35,0
Raumati South,"Raumati South School Hall, 54A Matai Road",4,14,4,0,22,0
Tītahi Bay,"Ngāti Toa School Hall, 44 Piko Street",0,38,7,1,46,1
,"Titahi Bay Intermediate School Hall, 16 Kahutea Terrace",3,55,28,2,88,0
,"Titahi Bay North School, 47 Jillett Street",2,33,18,4,57,1
,"Tītahi Bay School Hall, 11 Kura Street",5,40,14,4,63,0
Waitangirua,"Nātone Park School Hall, 6 Kokiri Crescent",1,21,19,0,41,1
Whitby,"Discovery School Hall, 2 Pullen Lane",1,10,8,0,19,0
,"Postgate School Hall, 3 Staithes Drive North",1,19,7,4,31,2
,"St Mary's Anglican Church, Whitby Shopping Centre, 69D Discovery Drive",1,6,3,0,10,0
,"The Anchor Church, 1 Joseph Banks Drive",4,18,7,0,29,0
New Plymouth
Bell Block,"Fred Tucker Memorial Community Centre, 130 Parklands Avenue",5,45,6,0,56,1
,"Pacific International Hotel Management School, La Vista Restaurant, 4 Henwood Road",6,17,4,0,27,0
Brooklands,"St Pius X School Hall, 120 Brooklands Road",1,17,4,1,23,1
Egmont Village,"Egmont Village School Hall, 1052 Junction Road",2,3,1,0,6,0
Fitzroy,"Fitzroy Primary School Hall, 45 Sackville Street",3,29,6,2,40,2
Frankleigh Park,"Woodleigh School Hall, 85 Brois Street",2,11,5,1,19,0
Highlands Park,"Mangorei School Hall, 502 Mangorei Road",1,5,2,0,8,0
Lepperton,"Lepperton School Hall, 540 Richmond Road",1,3,2,0,6,0
Marfell,"Marfell Community School Hall, 10 Endeavour Street",0,26,10,2,38,2
Merrilands,"Merrilands Domain Hall, 251 Mangorei Road",3,13,11,2,29,1
Moturoa,"Paritutu Bowling Club, (corner Calvert Road & St Aubyn Street)",4,31,7,1,43,1
New Plymouth Central,"Blind Low Vision NZ, 129-131 Vivian Street",0,4,2,0,6,0
,"CBD Shop, next to ASB, 6 Devon Street West",4,21,3,1,29,2
,"Central School Hall, 49 Pendarves Street",5,7,7,1,20,0
,"New Plymouth Boys' High School, Pridham Hall, 97 Eliot Street",0,7,6,0,13,0
,"St Joseph’s Church Hall, 151 Devon Street West",1,8,2,0,11,2
Ōakura,"Ōakura Community Hall, 1160A Main South Road",3,13,3,1,20,1
Ōkato,"Ōkato Playcentre, 37 Carthew Street",5,21,3,0,29,1
Ōpunake,"Ōpunake High School Hall, 149-151 Tasman Street",0,14,14,0,28,0
Pungarehu,"Pungarehu Old Post Office, 6351 Main South Road",1,16,2,0,19,0
